image,threshold
kaz02_0001,115.0
kaz02_0002,121.0
kaz02_0003,121.0
kaz02_0004,116.0
kaz02_0005,117.0
kaz02_0006,118.0
kaz02_0007,117.0
kaz02_0008,116.0
kaz02_0009,119.0
kaz02_0010,119.0
kaz02_0011,119.0
kaz02_0012,118.0
kaz02_0013,117.0
kaz02_0014,118.0
kaz02_0015,118.0
kaz02_0016,116.0
kaz02_0017,119.0
kaz02_0018,118.0
kaz02_0019,118.0
kaz02_0020,119.0
kaz02_0021,118.0
kaz02_0022,116.0
kaz02_0023,116.0
kaz02_0024,118.0
kaz02_0025,115.0
kaz02_0026,114.0
kaz02_0027,114.0
kaz02_0028,115.0
kaz02_0029,116.0
kaz02_0030,114.0
kaz02_0031,114.0
kaz02_0032,116.0
kaz02_0033,117.0
kaz02_0034,116.0
kaz02_0035,113.0
kaz02_0036,116.0
kaz02_0037,118.0
kaz02_0038,116.0
kaz02_0039,117.0
kaz02_0040,117.0
kaz02_0041,118.0
kaz02_0042,118.0
kaz02_0043,118.0
kaz02_0044,114.0
kaz02_0045,118.0
kaz02_0046,116.0
kaz02_0047,117.0
kaz02_0048,116.0
kaz02_0049,131.0
kaz02_0050,127.0
kaz02_0051,130.0
kaz02_0052,131.0
kaz02_0053,131.0
kaz02_0054,127.0
kaz02_0055,129.0
kaz02_0056,131.0
kaz02_0057,120.0
kaz02_0058,125.0
kaz02_0059,125.0
kaz02_0060,122.0
kaz02_0061,121.0
kaz02_0062,124.0
kaz02_0063,125.0
kaz02_0064,120.0
kaz02_0065,124.0
kaz02_0066,120.0
kaz02_0067,121.0
kaz02_0068,125.0
kaz02_0069,123.0
kaz02_0070,118.0
kaz02_0071,119.0
kaz02_0072,121.0
kaz02_0073,129.0
kaz02_0074,125.0
kaz02_0075,127.0
kaz02_0076,129.0
kaz02_0077,127.0
kaz02_0078,124.0
kaz02_0079,126.0
kaz02_0080,127.0
kaz02_0081,137.0
kaz02_0082,131.0
kaz02_0083,133.0
kaz02_0084,137.0
kaz02_0085,136.0
kaz02_0086,130.0
kaz02_0087,131.0
kaz02_0088,136.0
kaz02_0089,126.0
kaz02_0090,124.0
kaz02_0091,125.0
kaz02_0092,125.0
kaz02_0093,124.0
kaz02_0094,122.0
kaz02_0095,124.0
kaz02_0096,123.0
kaz02_0097,126.0
kaz02_0098,123.0
kaz02_0099,125.0
kaz02_0100,126.0
kaz02_0101,125.0
kaz02_0102,124.0
kaz02_0103,125.0
kaz02_0104,125.0
kaz02_0105,121.0
kaz02_0106,125.0
kaz02_0107,125.0
kaz02_0108,120.0
kaz02_0109,118.0
kaz02_0110,122.0
kaz02_0111,123.0
kaz02_0112,116.0
kaz02_0113,120.0
kaz02_0114,124.0
kaz02_0115,126.0
kaz02_0116,118.0
kaz02_0117,121.0
kaz02_0118,126.0
kaz02_0119,127.0
kaz02_0120,120.0
kaz02_0121,123.0
kaz02_0122,123.0
kaz02_0123,124.0
kaz02_0124,123.0
kaz02_0125,123.0
kaz02_0126,122.0
kaz02_0127,123.0
kaz02_0128,122.0
kaz02_0129,126.0
kaz02_0130,124.0
kaz02_0131,124.0
kaz02_0132,123.0
kaz02_0133,123.0
kaz02_0134,124.0
kaz02_0135,126.0
kaz02_0136,123.0
kaz02_0137,120.0
kaz02_0138,123.0
kaz02_0139,125.0
kaz02_0140,119.0
kaz02_0141,120.0
kaz02_0142,123.0
kaz02_0143,124.0
kaz02_0144,118.0
kaz02_0145,122.0
kaz02_0146,122.0
kaz02_0147,123.0
kaz02_0148,121.0
kaz02_0149,122.0
kaz02_0150,122.0
kaz02_0151,124.0
kaz02_0152,120.0
kaz02_0153,113.0
kaz02_0154,114.0
kaz02_0155,115.0
kaz02_0156,113.0
kaz02_0157,115.0
kaz02_0158,113.0
kaz02_0159,115.0
kaz02_0160,114.0
kaz02_0161,118.0
kaz02_0162,116.0
kaz02_0163,117.0
kaz02_0164,116.0
kaz02_0165,117.0
kaz02_0166,115.0
kaz02_0167,117.0
kaz02_0168,116.0
kaz02_0169,121.0
kaz02_0170,119.0
kaz02_0171,120.0
kaz02_0172,119.0
kaz02_0173,120.0
kaz02_0174,119.0
kaz02_0175,120.0
kaz02_0176,119.0
kaz02_0177,118.0
kaz02_0178,117.0
kaz02_0179,118.0
kaz02_0180,116.0
kaz02_0181,117.0
kaz02_0182,116.0
kaz02_0183,118.0
kaz02_0184,116.0
